M42****3553,导游热情好客，讲解生动有趣。体验很好，值得推荐，,2020-08-20,5
134****5588,很有诚信的经营,2020-08-20,5
_WeCh****042586,导游讲解的很到位。不错体验很好，,2020-08-20,5
_WeCh****444290,体验很好，,2020-08-20,5
_WeCh****91200,体验很好，有趣好玩，值得推荐，,2020-08-20,5
世界美食游走达人,[打卡]门额大书昭烈庙，世人皆道武侯祠。中国唯一君臣合葬墓不知是不是诸葛亮功高震主的结果，得人心是好是坏，人心又是好还是坏。  ​​​[喜欢],2020-08-20,4
_WeCh****32068,体验很好，有趣好玩，值得推荐，景色不错，,2020-08-20,5
Fayred,武侯祠游客不少，小夏导游讲的不错，而且也很耐心，有几个人迟到二十几分钟一点都不守时！她也没生气尽力把参观讲解安排好，希望参加团队活动的人要认识每个人时间都很宝贵，不要随便迟到影响他人活动,2020-08-20,5
133****1822,讲师王忠老师讲得很精彩，建议请一个好的讲解老师，增长见识，不然就是瞎逛。,2020-08-20,5
U44658****437873,不错不错，导游讲得很好很有趣。,2020-08-20,5
