M21****661,武侯祠供奉的是人物的祠堂，面积虽然不大，景色也不算非常美，但是主要是三国人物的介绍，如果对历史文物，对三国感兴趣非常值得一看，讲解必须要有的。另外武侯祠后面就是锦里古街，吃东西方便，非常近。,2019-08-01,5
远航_911,还可以，挺好的z.就是有时候定位有问题,2019-08-01,4
300****987,导游很敬业，讲解详细，服务热情。,2019-07-31,5
自驾走八方,非常值得去，不多的纪念诸葛亮的。,2019-07-31,5
_WeCh****683167,不能在网上订票，链接全是讲解员的票价，很容易误解为景区门票，有点坑。不能很好利民。,2019-07-31,1
小兔月野兔,导游很细心的讲解了每个景点，去这种地方没有讲解真的很多都很难理解，带着小朋友一起学习了很多知识，最后导游还给大家推荐了成都其他景点,2019-07-31,5
小兔月野兔,导游讲解的很仔细，要不然真是走马观花了，带小孩来也可以学到一点知识，最后导游还推荐了其他的景点和购物的注意事项，很贴心,2019-07-31,5
_WB2****1346,武侯祠里的静远堂，也称诸葛亮殿，是纪念诸葛亮的主要场所。,2019-07-30,5
wx821031,去的时候最好租一个讲解器，可以听到很多典故，不虚此行。,2019-07-30,5
一路风景的三哥,体验中国古代祠堂文化，先贤传世。,2019-07-30,5
M10****984,已经到景区门口，白跑一趟，花了冤枉钱！,2019-07-30,1
莱恩•Lion,"武侯祠(又名汉昭烈庙)，是全国重点文物保护单位，国家AAAA级旅游景区，国家一级博物馆。位于成都市武侯区武侯祠大街，是中国唯一的一座君臣合祀祠庙。是最负盛名的诸葛亮、刘备及蜀汉英雄纪念地，也是全国影响最大的三国遗迹博物馆，享有""三国圣地""的美誉。在武侯祠祠院内游玩约1小时，颇感美景比比皆是，绿树成荫、古柏参天、流水潺潺、红墙映翠竹，更显典雅和庄严另有一番浪漫在里头，感觉时间远远是不够的。学习历史知识典故，美景拍照留影，意犹未尽，也不得不走。",2019-07-30,5
M54****221,武侯祠，《三国》迷必须的打卡地，唯一的一座君臣合祀庙。    进门扫二维码先关注微信，按着公众号里的语音导览一个景点一个景点的下来，不走冤枉路，而且讲解的也是清清楚楚：为什么大门口匾额是“汉昭烈墓”？在刘备旁侧供奉的为什么是孙子刘湛、而没有儿子刘禅？岳飞写的出师表，为什么后面龙飞凤舞？从刘备殿进入后面的武侯祠，为什么要下11个台阶？“名垂宇宙”是后人对诸葛亮的赞颂，殿内刻着诫子书之“淡泊明志、宁静致远”的主梁，为什么会用价值连城的乌木？刘备作为一代君王，陵墓为什么那么简陋？   三义庙旁边的喜神方石一定要摸一下，据说可以带来好运。,2019-07-29,5
红小豆719,天气好热，景点不错，很有历史感。旁边是锦里，正好可以去吃吃逛逛。,2019-07-29,5
惜佳,好玩,2019-07-29,5
Lynn,很有历史感，挺好的祠堂，值得一去,2019-07-29,5
M86****09,很不错，方便、实惠，讲解细致，之前不知道还有这种语音讲解，看到其他人在用，现场下载，真的很方便，讲到很细致。,2019-07-28,5
M22****5770,还不错，有时定位滞后。就一块钱。,2019-07-27,5
Icebaby512,懂三国的人一定要去看看！感觉环境还不错！,2019-07-27,4
