冷血金鹰,不错，挺好的,2021-05-12,5
M27****3604,导游小姐姐人很好很热情，讲的很细，下次有需要还会再找佩佩导游！总体超赞，,2021-05-12,5
旅行小哆啦,挺不错的&nbsp; 值得推荐&nbsp; 性价比很高&nbsp; 就是路上会容易堵车&nbsp; 但总体感觉还是挺好的&nbsp; 可以看到市区的风景&nbsp; 感受一下这座城市独一无二的意蕴,2021-05-12,5
205****162,非常棒，快捷！,2021-05-11,5
zixunshi99,武侯祠也是大家到成都来，必打卡的地方可以和周边的一些旅游景点一起旅游，也是一个肌肤成都地方特色的地方，是一个有故事，有历史的地方,2021-05-10,4
M23****6017,一个人从东部城市坐了9个半小时的高铁来成都旅游散心，宽窄巷子的热闹繁忙，杜甫草堂的闲逸幽静，骑单车小哥主动堵路时的点头歉意，让我很喜欢这个城市。但是，在武侯祠买票时，一位大叔没有一点服务意识，将票用“丢”的方式（也可以说是“扔”的方式）放到窗台上给我时，心情顿时降到冰点。然后，拿着票，蔫头耷脑的进园半小时就出来了，再也不想来了，,2021-05-10,2
M47****8184,讲解内容丰富，很详细，感人，非常好👍,2021-05-09,5
M26****521,虽然武侯祠来了多次但在母亲节陪母亲们感受了一下武侯祠的三国文化也很开心。特别感谢讲解小柯的赖心进解。总体超赞，,2021-05-09,5
205****008,讲解的非常生动清晰，对武侯祠有了进一步的了解和认知，很好的体验,2021-05-09,5
LHCY,武侯祠，位于四川省成都市武侯区武侯祠大街231号，占地15万平方米，始建于章武元年（221年），原是纪念诸葛亮的专祠，亦称孔明庙、诸葛祠、丞相祠等，后合并为君臣合祀祠庙。武侯祠是民众对蜀汉丞相诸葛亮“鞠躬尽瘁死而后已”精神的肯定和赞誉的载体，也是三国遗迹源头，是到成都必打卡之处。,2021-05-08,5
M46****9278,总体超赞，,2021-05-08,5
心灵宫殿,《武侯祠，圆你心中的三国梦》成都何处最迷人？不是那麻麻辣辣的川味火锅，也不是风情万种的川妹花裙，而是，武侯祠。武侯祠，天府之国十大文化地标之一。说到成都，不能不提三国，三国历史，前前后后，八十余年，君宦同祠，文武同室，放眼环宙，独此一家。据《三国志》记载：刘备于公元223年病故白帝城之后，灵柩运回成都，下葬于此，史称惠陵。而按照汉制，有陵必有庙，所以在同时期，就有了汉昭烈庙的诞生。武侯祠是纪念中国三国时期蜀汉丞相诸葛亮的祠堂，因诸葛亮生前被封为武乡侯而得名。到了明朝初年重建时，将武侯祠并入了汉昭烈庙，形成现存武侯祠的君臣合庙。武侯祠的文物区主要由惠陵、汉昭烈庙、武侯祠、三义庙等组成，主体建筑为武侯祠。武侯祠分大门（正门）、二门、刘备殿、过厅、诸葛亮殿、三义庙等，排列在从南到北的一条中轴线上。祠内供奉刘备、诸葛亮等蜀汉英雄塑像50余尊，还有众多的关于诸葛亮和三国文化的碑刻、匾额等。其中以刘备殿最高，建筑最为雄伟壮丽。武侯祠后还有结义楼等建筑。每一次逛下来，细细品味后，都颇有收获感，这里真是三国圣地。三国文化，历来是我国传统文化的重头戏，世世代代为人们高度关注，怪不得成都武侯区因成都武侯祠而得名。如果你在《三国演义》中最喜欢的是蜀国，这里绝对是你必须要来看看的地方了，一定可以满足你所有的渴望。滚滚长江东逝水，浪花淘尽英雄。是非成败转头空。青山依旧在，几度夕阳红。白发渔樵江渚上，惯看秋月春风。一壶浊酒喜相逢。古今多少事，都付笑谈中。武侯祠，无疑是激活三国文化记忆的最佳遗迹！⛩👹👺旅游小贴士：武侯祠地址：四川省成都市武侯区武侯祠大街231号；门票：50元/人；开放时间：9：00－18：00；交通：地铁3号线【高升桥】站D出口，步行10分钟可到达；公交1路、57路、82路、334路、335路到达成都武侯祠博物馆。游玩攻略：其实武侯祠现分为文物区（三国历史遗迹）、园林区（原南郊公园及刘湘墓园）和锦里民俗区（锦里古街）三部分，文物区需要买门票，也就是武侯祠三国历史核心部分。特别提示：成都著名的“红墙竹影”，因2003年著名导演张艺谋为成都拍摄宣传片的取景地而成为网红，红墙夹道围绕在惠陵门前的两侧。这条夹道可以说是肃穆的武侯祠中最柔情的部分，记得一定拍照哦。,2021-05-08,5
M28****3404,导游讲解到位，不虚此行。,2021-05-07,5
沙子一袋子9,武侯祠没有讲解就没有了灵魂，金牌讲解风趣博识，回顾了三国。武侯祠没有刷身份证入园，迟到需要自己买票，耽搁时间，人工半价票只收现金，入园人多没有导流人工限流，一时混乱，冲着刷身份证免排队入园买的，最终还是免不了排队，还好讲解给力,2021-05-07,5
